Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
207,Sierra Leone," 7,760.00 ", 126.00 , N/A , N/A ," 2,59,958.00 "," 83,06,436.00 "
208,Chad," 7,652.00 ", 194.00 ," 4,874.00 "," 2,584.00 "," 1,91,341.00 "," 1,74,13,580.00 "
209,British Virgin Islands," 7,305.00 ", 64.00 , N/A , N/A ," 1,07,339.00 "," 30,596.00 "
210,Cook Islands," 7,011.00 ", 2.00 ," 6,993.00 ", 16.00 ," 19,690.00 "," 17,571.00 "
211,Saint Kitts and Nevis," 6,592.00 ", 46.00 ," 6,537.00 ", 9.00 ," 1,26,903.00 "," 53,871.00 "
212,Turks and Caicos," 6,522.00 ", 38.00 ," 6,451.00 ", 33.00 ," 6,11,527.00 "," 39,741.00 "
213,Sao Tome and Principe," 6,280.00 ", 77.00 ," 6,202.00 ", 1.00 ," 29,036.00 "," 2,27,679.00 "
214,Palau," 5,986.00 ", 9.00 ," 5,976.00 ", 1.00 ," 68,820.00 "," 18,233.00 "
215,St. Barth," 5,420.00 ", 6.00 , N/A , N/A ," 78,646.00 "," 9,945.00 "
216,Kiribati," 5,008.00 ", 18.00 ," 2,703.00 "," 2,287.00 ",," 1,23,419.00 "
217,Nauru," 4,621.00 ", 1.00 ," 4,609.00 ", 11.00 ," 20,509.00 "," 10,903.00 "
218,Anguilla," 3,904.00 ", 12.00 ," 3,879.00 ", 13.00 ," 51,382.00 "," 15,230.00 "
219,Macao," 3,488.00 ", 120.00 ," 3,357.00 ", 11.00 ," 7,850.00 "," 6,67,490.00 "
220,Saint Pierre Miquelon," 3,452.00 ", 2.00 ," 2,449.00 "," 1,001.00 "," 25,400.00 "," 5,759.00 "
221,Wallis and Futuna," 3,427.00 ", 7.00 , 438.00 ," 2,982.00 "," 20,508.00 "," 10,982.00 "
222,Tuvalu," 2,805.00 ",,," 2,805.00 ",," 12,066.00 "
223,Saint Helena," 2,166.00 ",, 2.00 ," 2,164.00 ",," 6,115.00 "
224,Falkland Islands," 1,930.00 ",," 1,930.00 ", -   ," 8,632.00 "," 3,539.00 "
225,Montserrat," 1,403.00 ", 8.00 ," 1,376.00 ", 19.00 ," 17,762.00 "," 4,965.00 "
226,Niue, 747.00 ,, 746.00 , 1.00 ,," 1,622.00 "
227,Diamond Princess, 712.00 , 13.00 , 699.00 , -   ,,
228,Vatican City, 29.00 ,, 29.00 , -   ,, 799.00 
229,Western Sahara, 10.00 , 1.00 , 9.00 , -   ,," 6,26,161.00 "
230,MS Zaandam, 9.00 , 2.00 , 7.00 , -   ,,
231,Tokelau, 5.00 ,,, 5.00 ,," 1,378.00 "
